mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347401694,6.0,6.385646E-8,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-94,1763347406692,6.1,3.5808096E-11,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-94,1763347411695,6.0,2.1095596E-14,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-94,1763347413700,6.1,2.4178666E-15,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347416700,6.1,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347418701,6.0,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347421692,7.0,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347423688,7.3,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347426687,6.7,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347428683,6.1,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347431686,6.1,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347433695,6.0,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347436687,6.1,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-95,1763347438684,6.1,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-94,1763347441680,6.0,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-94,1763347443701,6.0,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-94,1763347446702,6.0,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-94,1763347448694,6.0,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590531,-77.5256446,-94,1763347451695,6.5,3.2502748E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7589593,-77.5257704,-94,1763347541865,21.1,-2000.0,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7589593,-77.5257704,-94,1763347541865,21.1,-2000.0,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7591108,-77.5255591,-94,1763347546990,4.8,0.99067384,330.91766,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7591108,-77.5255591,-94,1763347546990,4.8,0.99067384,330.91766,LTE,20,,5124,330,,,
